

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    44323     70094 |   1.581
1980    48881     64863 |   1.327
1981    49393     59952 |   1.214
1982    43134     50777 |   1.177
1983    59876     95883 |   1.601
1984    38065     35226 |   0.925
1985    50948     67673 |   1.328
1986    25422     33767 |   1.328
1987    21134     28072 |   1.328
1988    10785     14325 |   1.328
1989    36639     48667 |   1.328
1990    23733     31524 |   1.328
1991    19714     26186 |   1.328
1992    13896     18458 |   1.328
1993    22858     30362 |   1.328
1994    11683     15518 |   1.328
1995     1644      2184 |   1.328
1996      555       737 |   1.328
1997      900      1195 |   1.328
1998       77       102 |   1.325
1999      158       210 |   1.329
2000      177       235 |   1.328
2001   400000     21989 |   0.055

CEILINGS SPECIFIED FOR Alaska S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    16581     11700 |   0.706
1980    20213     12697 |   0.628
1981    21300     12026 |   0.565
1982    25756     13955 |   0.542
1983    22321     19838 |   0.889
1984    22050     17865 |   0.810
1985    23037     15825 |   0.687
1986    19198     13188 |   0.687
1987    20458     14054 |   0.687
1988    22250     15285 |   0.687
1989    26791     18404 |   0.687
1990    41359     28412 |   0.687
1991    45141     31010 |   0.687
1992    35346     24281 |   0.687
1993    42677     29317 |   0.687
1994    35468     24365 |   0.687
1995    35422     24333 |   0.687
1996    40049     27512 |   0.687
1997    54201     37234 |   0.687
1998    46768     32127 |   0.687
1999    54531     37460 |   0.687
2000    38894     26718 |   0.687
2001   400000     25604 |   0.064

CEILINGS SPECIFIED FOR Nor/Cen S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    15302     22837 |   1.492
1980    19669     22551 |   1.147
1981    11425     22193 |   1.942
1982    17274     22825 |   1.321
1983    12353     26139 |   2.116
1984    10525     28594 |   2.717
1985     9867     16547 |   1.677
1986    12619     21162 |   1.677
1987    13827     23188 |   1.677
1988    19307     32378 |   1.677
1989    35650     59785 |   1.677
1990    31967     53608 |   1.677
1991    32496     54495 |   1.677
1992    37881     63526 |   1.677
1993    38232     64115 |   1.677
1994    38947     65314 |   1.677
1995    30000     50310 |   1.677
1996    11000     18447 |   1.677
1997    47429     79538 |   1.677
1998    49375     82801 |   1.677
1999    45633     76526 |   1.677
2000    32100     53831 |   1.677
2001   400000     50165 |   0.125

CEILINGS SPECIFIED FOR WCVI S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979     4100      8019 |   1.956
1980     6100      6792 |   1.113
1981     8800      6813 |   0.774
1982    10000      6973 |   0.697
1983    28000      5613 |   0.200
1984    21200      6473 |   0.305
1985    23100     12018 |   0.520
1986    17100      8896 |   0.520
1987    34800     18104 |   0.520
1988    12800      6659 |   0.520
1989    38800     20185 |   0.520
1990    35000     18208 |   0.520
1991    39500     20550 |   0.520
1992    26200     13630 |   0.520
1993    28800     14983 |   0.520
1994    25400     13214 |   0.520
1995    18600      9676 |   0.520
1996    12200      6347 |   0.520
1997    11100      5775 |   0.520
1998     4200      2185 |   0.520
1999    31100     16180 |   0.520
2000    36630     19056 |   0.520
2001   400000     13488 |   0.034

CEILINGS SPECIFIED FOR Wash Ocn S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    82316    101471 |   1.233
1980    59102     89771 |   1.519
1981    96167     90631 |   0.942
1982   114987     76439 |   0.665
1983    51829     30679 |   0.592
1984     6991     11316 |   1.619
1985    30156     29344 |   0.973
1986    23200     22575 |   0.973
1987    44600     43398 |   0.973
1988    19400     18877 |   0.973
1989    20900     20337 |   0.973
1990    32900     32014 |   0.973
1991    13300     12942 |   0.973
1992    18900     18391 |   0.973
1993    13600     13234 |   0.973
1994        0         0 | - NA - 
1995      600       584 |   0.973
1996      200       195 |   0.975
1997     4152      4040 |   0.973
1998     2292      2230 |   0.973
1999    10820     10528 |   0.973
2000     9234      8985 |   0.973
2001   400000     17102 |   0.043

CEILINGS SPECIFIED FOR PgtNth S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    84461     67745 |   0.802
1980    68646     63878 |   0.931
1981    61079     62237 |   1.019
1982    36795     59387 |   1.614
1983    73226     42463 |   0.580
1984    73762     48569 |   0.658
1985    56877     49204 |   0.865
1986    84000     72667 |   0.865
1987    67000     57961 |   0.865
1988    48000     41524 |   0.865
1989    61000     52770 |   0.865
1990    58273     50411 |   0.865
1991    44782     38740 |   0.865
1992    45226     39124 |   0.865
1993    39350     34041 |   0.865
1994     7456      6450 |   0.865
1995    14212     12295 |   0.865
1996    17500     15139 |   0.865
1997    21393     18507 |   0.865
1998     5228      4523 |   0.865
1999     5461      4724 |   0.865
2000     6000      5191 |   0.865
2001   400000     26670 |   0.067

CEILINGS SPECIFIED FOR PgtSth S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   156402     88767 |   0.568
1980   142799     87469 |   0.613
1981   106048     84387 |   0.796
1982    85703     82181 |   0.959
1983   123752     51697 |   0.418
1984   102740     52675 |   0.513
1985    92603     57719 |   0.623
1986    88000     54850 |   0.623
1987    59000     36774 |   0.623
1988    63000     39267 |   0.623
1989    75000     46747 |   0.623
1990    71000     44254 |   0.623
1991    48859     30453 |   0.623
1992    51656     32197 |   0.623
1993    41034     25576 |   0.623
1994    40830     25449 |   0.623
1995    55587     34647 |   0.623
1996    54570     34013 |   0.623
1997    39032     24328 |   0.623
1998    20886     13018 |   0.623
1999    25951     16175 |   0.623
2000    25000     15582 |   0.623
2001   400000     38621 |   0.097

CEILINGS SPECIFIED FOR Geo St S
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   350000    517412 |   1.478
1980   371000    471526 |   1.271
1981   253300    441453 |   1.743
1982   163793    299922 |   1.831
1983   198433    226911 |   1.144
1984   369445    526360 |   1.425
1985   234838    341881 |   1.456
1986   181896    264807 |   1.456
1987   121081    176272 |   1.456
1988   119117    173413 |   1.456
1989   132846    193400 |   1.456
1990   111914    162926 |   1.456
1991   115523    168181 |   1.456
1992   116579    169718 |   1.456
1993   125762    183087 |   1.456
1994    72285    105234 |   1.456
1995    65035     94679 |   1.456
1996   100032    145628 |   1.456
1997    59900     87203 |   1.456
1998    24120     35114 |   1.456
1999    53400     77741 |   1.456
2000    33050     48115 |   1.456
2001   400000    127794 |   0.319


TERMINAL RUN COMPARISONS
************************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




TERMINAL RUN CALIBRATION FOR NTH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    65589     69513 |   1.060
1980    73819     73189 |   0.991
1981    77497     76886 |   0.992
1982    81130     78630 |   0.969
1983    79798     89041 |   1.116
1984   104271    103886 |   0.996
1985   137688    127597 |   0.927
1986   160810    150252 |   0.934
1987   146249    155434 |   1.063
1988   170827    169912 |   0.995
1989   182280    172865 |   0.948
1990   171153    174098 |   1.017
1991   155317    167583 |   1.079
1992   186898    175318 |   0.938
1993   185544    171076 |   0.922
1994   137418    146182 |   1.064
1995   113944    144342 |   1.267
1996   215259    171652 |   0.797
1997   140139    159399 |   1.137
1998   138986    143491 |   1.032
1999   151341    155525 |   1.028
2000   185147    185189 |   1.000
