

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0308B.OP7     Stage 2 calibration 0308B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
2002    58403     45628 |   0.781
2003   500000     40494 |   0.081

CEILINGS SPECIFIED FOR Nor/Cen S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    15302     23203 |   1.516
1980    19669     22930 |   1.166
1981    11425     22517 |   1.971
1982    17274     23164 |   1.341
1983    12353     26618 |   2.155
1984    10525     28848 |   2.741
1985     9867     16791 |   1.702
1986    12619     21474 |   1.702
1987    13827     23530 |   1.702
1988    19307     32855 |   1.702
1989    35650     60667 |   1.702
1990    31967     54399 |   1.702
1991    32496     55300 |   1.702
1992    37881     64463 |   1.702
1993    38232     65061 |   1.702
1994    38947     66277 |   1.702
1995    30000     51052 |   1.702
1996    11000     18719 |   1.702
1997    47429     80712 |   1.702
1998    49375     84023 |   1.702
1999    45633     77655 |   1.702
2000    32100     54626 |   1.702
2001    45211     76937 |   1.702
2002    56630     96369 |   1.702
2003   500000     62198 |   0.124

CEILINGS SPECIFIED FOR WCVI S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979     4100      7705 |   1.879
1980     6100      6707 |   1.100
1981     8800      6622 |   0.752
1982    10000      6485 |   0.649
1983    28000      5329 |   0.190
1984    21200      6014 |   0.284
1985    23100     11480 |   0.497
1986    17100      8498 |   0.497
1987    34800     17294 |   0.497
1988    12800      6361 |   0.497
1989    38800     19282 |   0.497
1990    35000     17393 |   0.497
1991    39500     19630 |   0.497
1992    26200     13020 |   0.497
1993    28800     14312 |   0.497
1994    25400     12623 |   0.497
1995    13956      6935 |   0.497
1996    10229      5083 |   0.497
1997     6400      3180 |   0.497
1998     4177      2076 |   0.497
1999    31106     15458 |   0.497
2000    38038     18903 |   0.497
2001    40179     19967 |   0.497
2002    31843     15824 |   0.497
2003   500000     15677 |   0.031

CEILINGS SPECIFIED FOR Wash Ocn S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    82316    100054 |   1.215
1980    59102     90631 |   1.533
1981    96167     89408 |   0.930
1982   114987     79395 |   0.690
1983    51829     34402 |   0.664
1984     6991     12174 |   1.741
1985    30156     29765 |   0.987
1986    23200     22900 |   0.987
1987    44600     44022 |   0.987
1988    19400     19149 |   0.987
1989    20900     20629 |   0.987
1990    32900     32474 |   0.987
1991    13300     13128 |   0.987
1992    18900     18655 |   0.987
1993    13600     13424 |   0.987
1994        0         0 | - NA - 
1995      600       592 |   0.987
1996      200       197 |   0.985
1997     4152      4098 |   0.987
1998     2292      2262 |   0.987
1999    10820     10680 |   0.987
2000     9234      9114 |   0.987
2001    25600     25268 |   0.987
2002    60600     59815 |   0.987
2003   500000     18860 |   0.038

CEILINGS SPECIFIED FOR PgtNth S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979    84461     65714 |   0.778
1980    68646     62174 |   0.906
1981    61079     59941 |   0.981
1982    36795     54660 |   1.486
1983    73226     79085 |   1.080
1984    73762     51478 |   0.698
1985    56877     53316 |   0.937
1986    84000     78741 |   0.937
1987    67000     62805 |   0.937
1988    48000     44995 |   0.937
1989    61000     57181 |   0.937
1990    58273     54624 |   0.937
1991    44782     41978 |   0.937
1992    45226     42394 |   0.937
1993    39350     36886 |   0.937
1994     7456      6989 |   0.937
1995    14212     13322 |   0.937
1996    17500     16404 |   0.937
1997    21393     20054 |   0.937
1998     5228      4901 |   0.937
1999     5411      5072 |   0.937
2000     6117      5734 |   0.937
2001    11341     10631 |   0.937
2002     7623      7146 |   0.937
2003   500000     33494 |   0.067

CEILINGS SPECIFIED FOR PgtSth S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   156402     89663 |   0.573
1980   142799     87862 |   0.615
1981   106048     84117 |   0.793
1982    85703     81354 |   0.949
1983   123752     51175 |   0.414
1984   102740     51107 |   0.497
1985    92603     57474 |   0.621
1986    88000     54617 |   0.621
1987    59000     36618 |   0.621
1988    63000     39101 |   0.621
1989    75000     46548 |   0.621
1990    71000     44066 |   0.621
1991    48859     30324 |   0.621
1992    51656     32060 |   0.621
1993    41034     25468 |   0.621
1994    40830     25341 |   0.621
1995    55587     34500 |   0.621
1996    54570     33869 |   0.621
1997    39032     24225 |   0.621
1998    20886     12963 |   0.621
1999    34116     21174 |   0.621
2000    29516     18319 |   0.621
2001    40170     24931 |   0.621
2002    34600     21474 |   0.621
2003   500000     44233 |   0.088

CEILINGS SPECIFIED FOR Geo St S
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
1979   350000    527151 |   1.506
1980   371000    476740 |   1.285
1981   253300    438788 |   1.732
1982   163793    292427 |   1.785
1983   198433    165481 |   0.834
1984   369445    411056 |   1.113
1985   234838    318213 |   1.355
1986   181896    246475 |   1.355
1987   121081    164068 |   1.355
1988   119117    161407 |   1.355
1989   132846    180010 |   1.355
1990   111914    151647 |   1.355
1991   115523    156537 |   1.355
1992   116579    157968 |   1.355
1993   125762    170411 |   1.355
1994    72285     97948 |   1.355
1995    65035     88124 |   1.355
1996   100032    135546 |   1.355
1997    59900     81166 |   1.355
1998    24120     32683 |   1.355
1999    53400     72359 |   1.355
2000    21912     29691 |   1.355
2001    31259     42357 |   1.355
2002    52979     71788 |   1.355
2003   500000    115046 |   0.230


TERMINAL RUN COMPARISONS
************************
OPTION FILE   DESCRIPTION
===========   ==============================================
0308B.OP7     Stage 2 calibration 0308B




TERMINAL RUN CALIBRATION FOR NTH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    65589     69535 |   1.060
1980    73819     73204 |   0.992
1981    77497     77056 |   0.994
1982    81130     79036 |   0.974
1983    79798     88390 |   1.108
1984   104271    103803 |   0.996
1985   137688    127525 |   0.926
1986   160810    150319 |   0.935
1987   146249    155707 |   1.065
1988   170827    170049 |   0.995
1989   182280    173203 |   0.950
1990   171153    174474 |   1.019
1991   155317    167597 |   1.079
1992   186898    174853 |   0.936
1993   185544    171276 |   0.923
1994   137418    145578 |   1.059
1995   113944    144184 |   1.265
1996   215259    172148 |   0.800
1997   140139    159057 |   1.135
1998   138986    143300 |   1.031
1999   151341    155783 |   1.029
2000   188482    186367 |   0.989
2001   228774    193924 |   0.848
2002   136625    173457 |   1.270
2003        0    154103 | - NA - 

TERMINAL RUN CALIBRATION FOR FRE
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   104568     94701 |   0.906
1980    68973     78428 |   1.137
1981    64315     71102 |   1.106
1982    81206     75590 |   0.931
1983    72672     80291 |   1.105
1984    93287     98931 |   1.061
1985   122149    115638 |   0.947
1986   144836    130811 |   0.903
1987   128095    130070 |   1.015
1988   129394    127393 |   0.985
1989   101605    113762 |   1.120
1990   129910    118399 |   0.911
1991   110503    109056 |   0.987
1992    93570    101004 |   1.079
1993    89587    101245 |   1.130
1994   126656    107617 |   0.850
1995   110200    125017 |   1.134
1996   160600    153265 |   0.954
1997   167100    153013 |   0.916
1998   150500    142145 |   0.944
1999   105500    123656 |   1.172
2000   116233    132608 |   1.141
2001   180952    174476 |   0.964
2002   214347    208483 |   0.973
2003        0    202363 | - NA - 

TERMINAL RUN CALIBRATION FOR RBH+RBT
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   107087     77073 |   0.720
1980    90652    118903 |   1.312
1981    97533     82653 |   0.847
1982   150701    155325 |   1.031
1983   151745    136958 |   0.903
1984   155546    166388 |   1.070
1985   131030    129821 |   0.991
1986    77107     81313 |   1.055
1987   100040    108923 |   1.089
1988   166674    158622 |   0.952
1989   222590    221715 |   0.996
1990   254204    259563 |   1.021
1991   360656    345655 |   0.958
1992   293617    284945 |   0.970
1993   338375    300635 |   0.888
1994   186849    222527 |   1.191
1995    62390    102125 |   1.637
1996    85412     94483 |   1.106
1997   145202    152314 |   1.049
1998   184420    173193 |   0.939
1999    98410     91508 |   0.930
2000    37055     39248 |   1.059
2001    86787     66477 |   0.766
2002   109882    118113 |   1.075
2003   105801    111430 |   1.053

TERMINAL RUN CALIBRATION FOR GSH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13290     15708 |   1.182
1980    13001     13818 |   1.063
1981    11430      9537 |   0.834
1982    10125      9559 |   0.944
1983    10871     11555 |   1.063
1984    14140     10965 |   0.775
1985    17376     19471 |   1.121
1986    15077     15975 |   1.060
1987    11423     11574 |   1.013
1988     7457      7712 |   1.034
1989    12899     13500 |   1.047
1990    13317     14039 |   1.054
1991    14561     17747 |   1.219
1992    15185     13915 |   0.916
1993    15192     10460 |   0.689
1994    14206     11990 |   0.844
1995     9198     13718 |   1.491
1996    18647     20621 |   1.106
1997    29331     22832 |   0.778
1998    20655     18830 |   0.912
1999    23527     24632 |   1.047
2000    20286     19867 |   0.979
2001    27458     27050 |   0.985
2002    23557     27121 |   1.151
2003        0     21222 | - NA - 

TERMINAL RUN CALIBRATION FOR NKF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    82790     91731 |   1.108
1980   113292    100918 |   0.891
1981    90282    100213 |   1.110
1982   111772    102353 |   0.916
1983    83361    105035 |   1.260
1984   133521    116494 |   0.872
1985   136902    129742 |   0.948
1986   111231    105474 |   0.948
1987    67749     75189 |   1.110
1988    50918     62519 |   1.228
1989    75652     77453 |   1.024
1990   105152     81189 |   0.772
1991    41085     52550 |   1.279
1992    27703     34587 |   1.248
1993    36504     30166 |   0.826
1994    29073     29169 |   1.003
1995    22673     26159 |   1.154
1996    30165     28393 |   0.941
1997    35576     31456 |   0.884
1998    29807     34105 |   1.144
1999    41186     36500 |   0.886
2000    33588     36426 |   1.084
2001    36450     39352 |   1.080
2002    53310     50084 |   0.939
2003    45750     48259 |   1.055

TERMINAL RUN CALIBRATION FOR PSF+PSY
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    53050     63002 |   1.188
1980    67691     66148 |   0.977
1981    75073     65818 |   0.877
1982    50039     59592 |   1.191
1983    56512     61950 |   1.096
1984    77796     65381 |   0.840
1985    62493     65674 |   1.051
1986    60276     63547 |   1.054
1987    71909     72642 |   1.010
1988    79297     81520 |   1.028
1989    98384     91193 |   0.927
1990    84122     76304 |   0.907
1991    54993     58768 |   1.069
1992    39661     45471 |   1.146
1993    44560     46674 |   1.047
1994    60604     65621 |   1.083
1995    99121     82314 |   0.830
1996    83105     81834 |   0.985
1997    66406     71885 |   1.083
1998    77297     84342 |   1.091
1999   116204     97082 |   0.835
2000    76777     92829 |   1.209
2001   105955     92359 |   0.872
2002    70757     99790 |   1.410
2003   133850    114275 |   0.854

TERMINAL RUN CALIBRATION FOR PSN
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    28435     27095 |   0.953
1980    23341     21740 |   0.931
1981    12131     15815 |   1.304
1982    13438     18104 |   1.347
1983    29377     23954 |   0.815
1984    23234     24440 |   1.052
1985    27595     26405 |   0.957
1986    23951     29150 |   1.217
1987    42059     39280 |   0.934
1988    47124     46141 |   0.979
1989    51605     54065 |   1.048
1990    61372     51275 |   0.835
1991    37257     40805 |   1.095
1992    26453     28311 |   1.070
1993    21252     23964 |   1.128
1994    31120     29594 |   0.951
1995    36749     33738 |   0.918
1996    36965     33374 |   0.903
1997    21288     26464 |   1.243
1998    29612     28167 |   0.951
1999    31104     28266 |   0.909
