"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,2,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,3,0,605.47,0,27.73,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,4,0,714.38,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,18,5,0,132.93,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,2,0,417.65,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,3,0,347.23,0,33.36,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,4,0,422.49,0,9.05,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,19,5,0,176.68,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,4,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,1,2,19.77,0,709.9,0,0.16,0,22.27,0,0,0,0,0,0,0,0,0
1979,5,1,3,1807.12,0,601.7,0,14.46,0,18.88,0,0,0,0,0,0,0,0,0
1979,5,1,4,3499.47,0,17.94,0,28,0,0.56,0,0,0,0,0,0,0,0,0
1979,5,1,5,3721.81,0,1.5,0,29.77,0,0.05,0,0,0,0,0,0,0,0,0
1979,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,5,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,1,2,0,0,166.76,0,0,0,5.23,0,0,0,0,0,0,0,0,0
1979,6,1,3,0,0,124.61,0,0,0,3.91,0,0,0,0,0,0,0,0,0
1979,6,1,4,471.27,0,4.27,0,3.77,0,0.13,0,0,0,0,0,0,0,0,0
1979,6,1,5,627.8,0,0.53,0,5.02,0,0.02,0,0,0,0,0,0,0,0,0
1979,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,4,2,0,0,52.15,0,0,0,3.48,0,0,0,0,0,0,0,0,0
1979,6,4,3,0,0,34.82,0,0,0,2.32,0,0,0,0,0,0,0,0,0
1979,6,4,4,484.59,0,4.72,0,8.24,0,0.31,0,0,0,0,0,0,0,0,0
1979,6,4,5,151.34,0,0.43,0,2.57,0,0.03,0,0,0,0,0,0,0,0,0
1979,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,2,0,1.8,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,3,0,15.42,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,4,0,97.7,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,20,5,0,180.38,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,1,2,0,0,166.55,0,0,0,5.22,0,0,0,0,0,0,0,0,0
1979,7,1,3,16.47,0,140.53,0,0.13,0,4.41,0,0,0,0,0,0,0,0,0
