

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)
9902B.OP7     9902B jsn jdf nets in cei file 20 = wcvi outside spt  mat file with frl and urbs only (no han)




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
1987    38579     28236   28236 |   0.732   0.732
1988    27550     20164   20164 |   0.732   0.732
1989    42005     30744   30744 |   0.732   0.732
1990    32132     23518   23518 |   0.732   0.732
1991    49303     36085   36085 |   0.732   0.732
1992    35004     25620   25620 |   0.732   0.732
1993    35883     26263   26263 |   0.732   0.732
1994    18910     13840   13840 |   0.732   0.732
1995    24300     17785   17785 |   0.732   0.732
1996    19356     14167   14167 |   0.732   0.732
1997    15516     11356   11356 |   0.732   0.732
1998    21602     15811   15811 |   0.732   0.732
1999   400000     21522   21522 |   0.054   0.054

CEILINGS SPECIFIED FOR Centr N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    76120     83932   83932 |   1.103   1.103
1980    49142     76379   76379 |   1.554   1.554
1981    29458     68047   68047 |   2.310   2.310
1982    47082     60236   60236 |   1.279   1.279
1983    32575     12283   12283 |   0.377   0.377
1984     9644      4012    4012 |   0.416   0.416
1985    27141     33911   33911 |   1.249   1.249
1986    55391     69207   69207 |   1.249   1.249
1987    21395     26732   26732 |   1.249   1.249
1988    21224     26518   26518 |   1.249   1.249
1989     6275      7840    7840 |   1.249   1.249
1990    28489     35595   35595 |   1.249   1.249
1991    15024     18771   18771 |   1.249   1.249
1992    17030     21278   21278 |   1.249   1.249
1993     7791      9734    9734 |   1.249   1.249
1994     9310     11632   11632 |   1.249   1.249
1995     3992      4988    4988 |   1.249   1.249
1996     3089      3859    3859 |   1.249   1.249
1997     3739      4672    4672 |   1.250   1.250
1998     4983      6226    6226 |   1.249   1.249
1999   400000     18775   18775 |   0.047   0.047

CEILINGS SPECIFIED FOR J De F N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    34912     20720   20720 |   0.593   0.593
1980     7883     19315   19315 |   2.450   2.450
1981    29245     19948   19948 |   0.682   0.682
1982    16961     18526   18526 |   1.092   1.092
1983     3689     24286   24286 |   6.583   6.583
1984    20802     10718   10718 |   0.515   0.515
1985    44617     44626   44626 |   1.000   1.000
1986    59851     59863   59863 |   1.000   1.000
1987    11255     11257   11257 |   1.000   1.000
1988    11781     11783   11783 |   1.000   1.000
1989    32008     32014   32014 |   1.000   1.000
1990    12798     12800   12800 |   1.000   1.000
1991    11780     11782   11782 |   1.000   1.000
1992    15605     15608   15608 |   1.000   1.000
1993     2813      2814    2814 |   1.000   1.000
1994    13840     13843   13843 |   1.000   1.000
1995     1530      1530    1530 |   1.000   1.000
1996      607       607     607 |   1.000   1.000
1997      386       386     386 |   1.000   1.000
1998      150       150     150 |   1.000   1.000
1999   400000     16941   16941 |   0.042   0.042

CEILINGS SPECIFIED FOR PgtNth N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    64689     53854   53854 |   0.833   0.833
1980    75658     52730   52730 |   0.697   0.697
1981    69236     48725   48725 |   0.704   0.704
1982    61310     47838   47838 |   0.780   0.780
1983    44638     50412   50412 |   1.129   1.129
1984    45552     40345   40345 |   0.886   0.886
1985    46363     37762   37762 |   0.814   0.814
1986    38000     30959   30959 |   0.815   0.815
1987    40000     32579   32579 |   0.814   0.814
1988    42000     34199   34199 |   0.814   0.814
1989    26000     21175   21175 |   0.814   0.814
1990    13902     11318   11318 |   0.814   0.814
1991    15143     12328   12328 |   0.814   0.814
1992    14938     12161   12161 |   0.814   0.814
1993    14636     11917   11917 |   0.814   0.814
1994    19727     16068   16068 |   0.815   0.815
1995    10030      8165    8165 |   0.814   0.814
1996     4397      3579    3579 |   0.814   0.814
1997    30261     24632   24632 |   0.814   0.814
1998    16557     13477   13477 |   0.814   0.814
1999   400000     20152   20152 |   0.050   0.050

CEILINGS SPECIFIED FOR John St N
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    44323     72872   72872 |   1.644   1.644
1980    48881     66045   66045 |   1.351   1.351
1981    49393     57887   57887 |   1.172   1.172
1982    43134     47062   47062 |   1.091   1.091
1983    59876     74577   74577 |   1.246   1.246
1984    38065     34636   34636 |   0.910   0.910
1985    50948     63414   63414 |   1.245   1.245
1986    25422     31642   31642 |   1.245   1.245
1987    21134     26305   26305 |   1.245   1.245
1988    10785     13424   13424 |   1.245   1.245
1989    36639     45604   45604 |   1.245   1.245
1990    23733     29540   29540 |   1.245   1.245
1991    19714     24537   24537 |   1.245   1.245
1992    13896     17296   17296 |   1.245   1.245
1993    22858     28451   28451 |   1.245   1.245
1994    11683     14541   14541 |   1.245   1.245
1995     1644      2046    2046 |   1.245   1.245
1996      555       691     691 |   1.245   1.245
1997      853      1062    1062 |   1.245   1.245
1998       77        96      96 |   1.247   1.247
1999   400000     27429   27429 |   0.069   0.069

CEILINGS SPECIFIED FOR Alaska S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    16581     12913   12913 |   0.779   0.779
1980    20213     14343   14343 |   0.710   0.710
1981    21300     13779   13779 |   0.647   0.647
1982    25756     16925   16925 |   0.657   0.657
1983    22321     33682   33682 |   1.509   1.509
1984    22050     28532   28532 |   1.294   1.294
1985    23031     21585   21585 |   0.937   0.937
1986    19185     17981   17981 |   0.937   0.937
1987    20456     19172   19172 |   0.937   0.937
1988    22248     20852   20852 |   0.937   0.937
1989    26790     25109   25109 |   0.937   0.937
1990    41360     38764   38764 |   0.937   0.937
1991    45133     42300   42300 |   0.937   0.937
1992    35348     33129   33129 |   0.937   0.937
1993    42697     40017   40017 |   0.937   0.937
1994    35501     33273   33273 |   0.937   0.937
1995    34871     32682   32682 |   0.937   0.937
1996    29122     27294   27294 |   0.937   0.937
1997    55787     52285   52285 |   0.937   0.937
1998    47951     44941   44941 |   0.937   0.937
1999   400000     29539   29539 |   0.074   0.074

CEILINGS SPECIFIED FOR Nor/Cen S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    15302     23304   23304 |   1.523   1.523
1980    19669     22652   22652 |   1.152   1.152
1981    11425     22360   22360 |   1.957   1.957
1982    17274     22836   22836 |   1.322   1.322
1983    12353     26444   26444 |   2.141   2.141
1984    10525     29336   29336 |   2.787   2.787
1985     9867     16751   16751 |   1.698   1.698
1986    12619     21423   21423 |   1.698   1.698
1987    13827     23474   23474 |   1.698   1.698
1988    19307     32777   32777 |   1.698   1.698
1989    35650     60523   60523 |   1.698   1.698
1990    31967     54270   54270 |   1.698   1.698
1991    32496     55168   55168 |   1.698   1.698
1992    37881     64310   64310 |   1.698   1.698
1993    38232     64906   64906 |   1.698   1.698
1994    38947     66120   66120 |   1.698   1.698
1995    30000     50931   50931 |   1.698   1.698
1996    11000     18675   18675 |   1.698   1.698
1997    40000     67907   67907 |   1.698   1.698
1998    40400     68587   68587 |   1.698   1.698
1999   400000     47214   47214 |   0.118   0.118

CEILINGS SPECIFIED FOR WCVI S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979     4100      7539    7539 |   1.839   1.839
1980     6100      8128    8128 |   1.332   1.332
1981     8800      7499    7499 |   0.852   0.852
1982    10000      8879    8879 |   0.888   0.888
1983    28000      7590    7590 |   0.271   0.271
1984    21200      7849    7849 |   0.370   0.370
1985    23100     14026   14026 |   0.607   0.607
1986    17100     10383   10383 |   0.607   0.607
1987    34800     21130   21130 |   0.607   0.607
1988    12800      7772    7772 |   0.607   0.607
1989    38800     23559   23559 |   0.607   0.607
1990    35000     21252   21252 |   0.607   0.607
1991    39500     23984   23984 |   0.607   0.607
1992    26200     15909   15909 |   0.607   0.607
1993    28800     17487   17487 |   0.607   0.607
1994    25400     15423   15423 |   0.607   0.607
1995    18600     11294   11294 |   0.607   0.607
1996    12200      7408    7408 |   0.607   0.607
1997    14600      8865    8865 |   0.607   0.607
1998    20000     12144   12144 |   0.607   0.607
1999   400000     10420   10420 |   0.026   0.026

CEILINGS SPECIFIED FOR Wash Ocn S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    82316    100932  100932 |   1.226   1.226
1980    59102     90663   90663 |   1.534   1.534
1981    96167     88248   88248 |   0.918   0.918
1982   114987     77202   77202 |   0.671   0.671
1983    51829     45746   45746 |   0.883   0.883
1984     6991     11863   11863 |   1.697   1.697
1985    30156     30395   30395 |   1.008   1.008
1986    23200     23384   23384 |   1.008   1.008
1987    44600     44954   44954 |   1.008   1.008
1988    19400     19554   19554 |   1.008   1.008
1989    20900     21066   21066 |   1.008   1.008
1990    32900     33161   33161 |   1.008   1.008
1991    13300     13405   13405 |   1.008   1.008
1992    18900     19050   19050 |   1.008   1.008
1993    13600     13708   13708 |   1.008   1.008
1994        0         0       0 | - NA -  - NA - 
1995      600       605     605 |   1.008   1.008
1996      200       202     202 |   1.010   1.010
1997     4100      4133    4133 |   1.008   1.008
1998     2200      2217    2217 |   1.008   1.008
1999   400000     15561   15561 |   0.039   0.039

CEILINGS SPECIFIED FOR PgtNth S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979    84461     68233   68233 |   0.808   0.808
1980    68646     63756   63756 |   0.929   0.929
1981    61079     61109   61109 |   1.000   1.000
1982    36795     60001   60001 |   1.631   1.631
1983    73226     58740   58740 |   0.802   0.802
1984    73762     61259   61259 |   0.830   0.830
1985    56877     53322   53322 |   0.937   0.937
1986    84000     78750   78750 |   0.938   0.938
1987    67000     62813   62813 |   0.938   0.938
1988    48000     45000   45000 |   0.938   0.938
1989    61000     57188   57188 |   0.938   0.938
1990    58273     54631   54631 |   0.938   0.938
1991    44782     41983   41983 |   0.937   0.937
1992    45226     42400   42400 |   0.938   0.938
1993    39350     36891   36891 |   0.938   0.938
1994     7456      6990    6990 |   0.938   0.938
1995    14212     13324   13324 |   0.938   0.938
1996    19910     18666   18666 |   0.938   0.938
1997    21364     20029   20029 |   0.938   0.938
1998    25230     23653   23653 |   0.937   0.937
1999   400000     34849   34849 |   0.087   0.087

CEILINGS SPECIFIED FOR PgtSth S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979   156402     89988   89988 |   0.575   0.575
1980   142799     86418   86418 |   0.605   0.605
1981   106048     82897   82897 |   0.782   0.782
1982    85703     80634   80634 |   0.941   0.941
1983   123752     86062   86062 |   0.695   0.695
1984   102740     84130   84130 |   0.819   0.819
1985    92603     65844   65844 |   0.711   0.711
1986    88000     62571   62571 |   0.711   0.711
1987    59000     41951   41951 |   0.711   0.711
1988    63000     44795   44795 |   0.711   0.711
1989    75000     53328   53328 |   0.711   0.711
1990    71000     50484   50484 |   0.711   0.711
1991    48859     34741   34741 |   0.711   0.711
1992    51656     36729   36729 |   0.711   0.711
1993    41034     29177   29177 |   0.711   0.711
1994    40830     29032   29032 |   0.711   0.711
1995    53480     38026   38026 |   0.711   0.711
1996    56246     39993   39993 |   0.711   0.711
1997    37105     26383   26383 |   0.711   0.711
1998    48649     34591   34591 |   0.711   0.711
1999   400000     46514   46514 |   0.116   0.116

CEILINGS SPECIFIED FOR Geo St S
Catch level comparison

      Actual   9902B   9902B    |9902B   9902B   
Year   Catch    MDL Cat MDL Cat | Compare Compare
==== ========  ================ |================
1979   350000    508069  508069 |   1.452   1.452
1980   371000    466481  466481 |   1.257   1.257
1981   253300    402676  402676 |   1.590   1.590
1982   163793    257914  257914 |   1.575   1.575
